,Dataset Name,Cross Validation,Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,AUPRC,Training Time,Inference Time
0,Bodyfat,1,Snapshot Ensemble,0.5,0.0,0.0,0.0,0.5,0.75,444.5236618518829,2325.8158151920024
1,Bodyfat,1,RandomForest,0.9615384615384616,0.9230769230769232,0.0,1.0,0.9615384615384616,0.9807692307692308,3.873464584350586,11.179062036367563
2,Bodyfat,2,Snapshot Ensemble,0.5,0.0,0.0,0.0,0.5,0.75,354.99310851097107,4690.908459516671
3,Bodyfat,2,RandomForest,1.0,1.0,0.0,1.0,1.0,1.0,4.749784231185913,10.794914685762846
4,Bodyfat,3,Snapshot Ensemble,0.48,0.0,0.0,0.0,0.5,0.75,294.19998598098755,3258.3706760406494
5,Bodyfat,3,RandomForest,1.0,1.0,0.0,1.0,1.0,1.0,3.489927291870117,11.61158561706543
6,Bodyfat,4,Snapshot Ensemble,0.48,0.0,0.0,0.0,0.5,0.75,352.02475786209106,1418.0432891845703
7,Bodyfat,4,RandomForest,1.0,1.0,0.0,1.0,1.0,1.0,2.4482572078704834,5.889301300048828
8,Bodyfat,5,Snapshot Ensemble,0.52,0.0,0.0,0.0,0.5,0.75,260.4476361274719,1976.5353870391848
9,Bodyfat,5,RandomForest,1.0,1.0,0.0,1.0,1.0,1.0,3.2347145080566406,10.41025161743164
10,Bodyfat,6,Snapshot Ensemble,0.52,0.0,0.0,0.0,0.5,0.75,227.77895760536197,3440.044870376587
11,Bodyfat,6,RandomForest,1.0,1.0,0.0,1.0,1.0,1.0,3.9550976753234863,15.969057083129885
12,Bodyfat,7,Snapshot Ensemble,0.52,0.0,0.0,0.0,0.5,0.75,224.9925343990326,1965.312824249268
13,Bodyfat,7,RandomForest,1.0,1.0,0.0,1.0,1.0,1.0,2.2338860034942627,8.401937484741211
14,Bodyfat,8,Snapshot Ensemble,0.52,0.0,0.0,0.0,0.5,0.75,286.6705849170685,1906.46484375
15,Bodyfat,8,RandomForest,1.0,1.0,0.0,1.0,1.0,1.0,2.458130121231079,6.685276031494141
16,Bodyfat,9,Snapshot Ensemble,0.52,0.0,0.0,0.0,0.5,0.75,155.27902507781982,1014.8521995544434
17,Bodyfat,9,RandomForest,1.0,1.0,0.0,1.0,1.0,1.0,1.7395942211151123,7.451286315917969
18,Bodyfat,10,Snapshot Ensemble,0.52,0.0,0.0,0.0,0.5,0.75,153.7585091590881,1300.8464241027832
19,Bodyfat,10,RandomForest,1.0,1.0,0.0,1.0,1.0,1.0,1.144123077392578,3.22077751159668
