,Dataset Name,Cross Validation,Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,AUPRC,Training Time,Inference Time
0,Chatfield,1,Snapshot Ensemble,0.875,0.9285714285714286,0.2,0.8666666666666667,0.9428571428571428,0.962739674948272,422.25256419181824,2091.220170259476
1,Chatfield,1,RandomForest,0.8333333333333334,0.9285714285714286,0.3,0.8125,0.8142857142857142,0.8600498338870431,4.27946138381958,12.10490862528483
2,Chatfield,2,Snapshot Ensemble,1.0,1.0,0.0,1.0,1.0,0.9999999999999998,299.36328959465027,2814.5382404327397
3,Chatfield,2,RandomForest,0.9583333333333334,0.9285714285714286,0.0,1.0,0.9642857142857142,0.9821428571428572,5.174263000488281,17.55678653717041
4,Chatfield,3,Snapshot Ensemble,0.9166666666666666,1.0,0.2,0.875,0.9642857142857142,0.964333115292869,296.025705575943,2294.554521640141
5,Chatfield,3,RandomForest,0.9166666666666666,1.0,0.2,0.875,0.9,0.9166666666666666,3.954148530960083,15.200843413670857
6,Chatfield,4,Snapshot Ensemble,0.875,0.9333333333333332,0.2222222222222222,0.875,0.9481481481481482,0.9488643653552876,295.44897174835205,2288.3061170578003
7,Chatfield,4,RandomForest,0.875,0.8666666666666667,0.1111111111111111,0.9285714285714286,0.8777777777777778,0.9098484848484848,4.464659690856934,22.08849787712097
8,Chatfield,5,Snapshot Ensemble,0.9166666666666666,0.9333333333333332,0.1111111111111111,0.9333333333333332,0.9851851851851852,0.9857865892972276,290.1274154186249,2247.2808361053467
9,Chatfield,5,RandomForest,0.9583333333333334,0.9333333333333332,0.0,1.0,0.9666666666666666,0.9833333333333332,4.8167643547058105,20.161231358846027
10,Chatfield,6,Snapshot Ensemble,0.8260869565217391,0.7857142857142857,0.1111111111111111,0.9166666666666666,0.9206349206349208,0.9335569051119632,327.55890798568726,1944.3627440411112
11,Chatfield,6,RandomForest,0.8260869565217391,0.7857142857142857,0.1111111111111111,0.9166666666666666,0.8373015873015871,0.884481668773704,3.408325433731079,9.501540142556896
12,Chatfield,7,Snapshot Ensemble,0.8695652173913043,1.0,0.3333333333333333,0.8235294117647058,0.9841269841269842,0.984696622986574,223.0847165584564,1957.33292206474
13,Chatfield,7,RandomForest,0.8695652173913043,1.0,0.3333333333333333,0.8235294117647058,0.8333333333333334,0.875,3.427504539489746,7.362697435461957
14,Chatfield,8,Snapshot Ensemble,0.9130434782608696,0.8571428571428571,0.0,1.0,0.9761904761904762,0.978694787233488,220.5406010150909,1409.9501423213794
15,Chatfield,8,RandomForest,0.9130434782608696,0.8571428571428571,0.0,1.0,0.9285714285714286,0.9642857142857144,2.916893720626831,10.670392409614896
16,Chatfield,9,Snapshot Ensemble,0.8695652173913043,0.7857142857142857,0.0,1.0,0.9444444444444444,0.953680364626327,225.3591811656952,1145.4877853393557
17,Chatfield,9,RandomForest,0.8260869565217391,0.7142857142857143,0.0,1.0,0.8571428571428572,0.9285714285714286,1.7807846069335938,6.360240604566491
18,Chatfield,10,Snapshot Ensemble,0.9565217391304348,0.9285714285714286,0.0,1.0,1.0,0.9999999999999998,155.0202832221985,1299.1457814755647
19,Chatfield,10,RandomForest,0.9565217391304348,0.9285714285714286,0.0,1.0,0.9642857142857144,0.9821428571428572,2.361660480499268,6.72224293584409
