,Dataset Name,Cross Validation,Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,AUPRC,Training Time,Inference Time
0,Diabetes,1,Snapshot Ensemble,0.6493506493506493,0.0,0.0,0.0,0.5,0.75,767.9939968585968,558.9921195785721
1,Diabetes,1,RandomForest,0.7272727272727273,0.7037037037037037,0.26,0.59375,0.721851851851852,0.7910296922595156,5.317235469818115,5.800460840200449
2,Diabetes,2,Snapshot Ensemble,0.6493506493506493,0.0,0.0,0.0,0.5,0.75,655.2529003620148,805.4980147968639
3,Diabetes,2,RandomForest,0.7662337662337663,0.5925925925925926,0.14,0.6956521739130435,0.7262962962962963,0.8025970864696852,6.449780225753784,4.805456508289684
4,Diabetes,3,Snapshot Ensemble,0.6493506493506493,0.0,0.0,0.0,0.5,0.75,604.3130049705505,449.4658940798277
5,Diabetes,3,RandomForest,0.7532467532467533,0.5925925925925926,0.16,0.6666666666666666,0.7162962962962964,0.7918489355497229,4.536048173904419,3.969319455035321
6,Diabetes,4,Snapshot Ensemble,0.6493506493506493,0.0,0.0,0.0,0.5,0.75,630.2521193027496,284.0916491174079
7,Diabetes,4,RandomForest,0.6753246753246753,0.5555555555555556,0.26,0.5357142857142857,0.6477777777777779,0.7294883439297608,2.683306932449341,3.1417004473797685
8,Diabetes,5,Snapshot Ensemble,0.6493506493506493,0.0,0.0,0.0,0.5,0.75,530.7328805923462,469.4141010185341
9,Diabetes,5,RandomForest,0.7142857142857143,0.4074074074074074,0.12,0.6470588235294118,0.6437037037037036,0.7380878069080317,4.173137426376343,4.091761328957298
10,Diabetes,6,Snapshot Ensemble,0.6493506493506493,0.0,0.0,0.0,0.5,0.75,459.89334321022034,552.0452926685284
11,Diabetes,6,RandomForest,0.7792207792207793,0.6296296296296297,0.14,0.7083333333333334,0.7448148148148149,0.81645456813888,5.551123142242432,5.656493174565303
12,Diabetes,7,Snapshot Ensemble,0.6493506493506493,0.0,0.0,0.0,0.5,0.75,404.6030766963959,334.0012438885577
13,Diabetes,7,RandomForest,0.8051948051948052,0.5925925925925926,0.08,0.8,0.7562962962962962,0.8386767825093815,3.134063482284546,1.858054817496956
14,Diabetes,8,Snapshot Ensemble,0.6493506493506493,0.0,0.0,0.0,0.5,0.75,437.0245974063873,259.3190979647946
15,Diabetes,8,RandomForest,0.8311688311688312,0.6666666666666666,0.08,0.8181818181818182,0.7933333333333333,0.8630952380952381,2.8746120929718018,2.222683522608373
16,Diabetes,9,Snapshot Ensemble,0.6578947368421053,0.0,0.0,0.0,0.51,0.7525252525252524,331.67953658103943,241.38721353129336
17,Diabetes,9,RandomForest,0.75,0.5384615384615384,0.14,0.6666666666666666,0.6992307692307694,0.7814407814407813,2.141586780548096,2.0672835801777087
18,Diabetes,10,Snapshot Ensemble,0.6578947368421053,0.0,0.0,0.0,0.7415384615384616,0.7017827531551554,183.27842664718628,318.1768718518709
19,Diabetes,10,RandomForest,0.7894736842105263,0.6153846153846154,0.12,0.7272727272727273,0.7476923076923079,0.822256195687158,3.1808156967163086,2.639256025615491
