,Dataset Name,Cross Validation,Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,AUPRC,Training Time,Inference Time
0,NO2,1,Snapshot Ensemble,0.48,0.0,0.04,0.0,0.4992,0.4148979591836735,583.0931599140167,674.8173570632935
1,NO2,1,RandomForest,0.7,0.6,0.2,0.75,0.7000000000000002,0.775,5.455167293548584,6.348843574523926
2,NO2,2,Snapshot Ensemble,0.52,0.16,0.12,0.5714285714285714,0.5247999999999999,0.5469523809523809,461.20301508903503,995.3176641464232
3,NO2,2,RandomForest,0.66,0.6,0.28,0.6818181818181818,0.6599999999999999,0.7409090909090909,7.099529027938843,10.977616310119627
4,NO2,3,Snapshot Ensemble,0.54,0.76,0.68,0.5277777777777778,0.6224000000000001,0.7330080624015612,525.4180433750153,746.3387870788574
5,NO2,3,RandomForest,0.6,0.48,0.28,0.631578947368421,0.6,0.6857894736842105,4.325854301452637,5.7727766036987305
6,NO2,4,Snapshot Ensemble,0.52,0.04,0.0,1.0,0.5,0.7451020408163266,464.050657749176,815.5507230758667
7,NO2,4,RandomForest,0.72,0.72,0.28,0.72,0.72,0.79,5.24034571647644,9.13930892944336
8,NO2,5,Snapshot Ensemble,0.5,1.0,1.0,0.5,0.5,0.7451020408163266,405.251296043396,387.9064512252808
9,NO2,5,RandomForest,0.62,0.52,0.28,0.65,0.62,0.705,2.487416505813598,3.95775318145752
10,NO2,6,Snapshot Ensemble,0.5,0.0,0.0,0.0,0.5,0.75,431.1713860034943,550.0195932388306
11,NO2,6,RandomForest,0.74,0.88,0.4,0.6875,0.74,0.8137500000000001,3.475421667098999,4.539361000061035
12,NO2,7,Snapshot Ensemble,0.4,0.0,0.2,0.0,0.4,0.25,309.7854480743408,705.3558778762817
13,NO2,7,RandomForest,0.76,0.8,0.28,0.7407407407407407,0.76,0.8203703703703703,4.236929178237915,6.199817657470703
14,NO2,8,Snapshot Ensemble,0.48,0.04,0.08,0.3333333333333333,0.4816,0.4399999999999999,404.541588306427,586.2037801742554
15,NO2,8,RandomForest,0.66,0.76,0.44,0.6333333333333333,0.6600000000000001,0.7566666666666667,3.619797468185425,4.730234146118164
16,NO2,9,Snapshot Ensemble,0.52,1.0,0.96,0.5102040816326531,0.52,0.7551020408163265,242.83590412139893,628.8889837265015
17,NO2,9,RandomForest,0.64,0.68,0.4,0.6296296296296297,0.64,0.7348148148148149,4.2642693519592285,6.326985359191895
18,NO2,10,Snapshot Ensemble,0.5,0.0384615384615384,0.0,1.0,0.5592948717948718,0.7700668896321069,340.37832164764404,498.41962337493896
19,NO2,10,RandomForest,0.6,0.7307692307692307,0.5416666666666666,0.59375,0.5945512820512824,0.7198459600852549,3.399799108505249,4.324860572814941
