,Dataset Name,Cross Validation,Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,AUPRC,Training Time,Inference Time
0,PM10,1,Snapshot Ensemble,0.52,1.0,1.0,0.52,0.5384615384615384,0.769230769230769,593.1224370002747,608.3113956451416
1,PM10,1,RandomForest,0.7,0.6923076923076923,0.2916666666666667,0.72,0.700320512820513,0.7748684540215486,4.228956937789917,6.312460899353027
2,PM10,2,Snapshot Ensemble,0.52,0.7692307692307693,0.75,0.5263157894736842,0.480769230769231,0.4550045821710366,461.8081274032593,991.9472074508668
3,PM10,2,RandomForest,0.74,0.6538461538461539,0.1666666666666666,0.8095238095238095,0.7435897435897438,0.8118990384615385,5.746762752532959,9.280118942260742
4,PM10,3,Snapshot Ensemble,0.52,1.0,1.0,0.52,0.4807692307692308,0.505286576168929,527.63996052742,754.9205780029297
5,PM10,3,RandomForest,0.56,0.5769230769230769,0.4583333333333333,0.5769230769230769,0.559294871794872,0.6728685401286021,5.347766160964966,6.913161277770996
6,PM10,4,Snapshot Ensemble,0.52,1.0,1.0,0.52,0.5592948717948718,0.7700668896321069,464.4819254875183,791.7809343338013
7,PM10,4,RandomForest,0.7,0.7692307692307693,0.375,0.6896551724137931,0.6971153846153849,0.7784421460892049,4.707053422927856,7.552542686462402
8,PM10,5,Snapshot Ensemble,0.48,0.76,0.8,0.4871794871794871,0.544,0.6844102160238889,405.27387595176697,443.5790061950684
9,PM10,5,RandomForest,0.5,0.56,0.56,0.5,0.5,0.64,3.368420362472534,4.629039764404297
10,PM10,6,Snapshot Ensemble,0.56,0.84,0.72,0.5384615384615384,0.5456000000000001,0.6712908960449473,433.0794785022736,543.198823928833
11,PM10,6,RandomForest,0.58,0.6,0.44,0.5769230769230769,0.5800000000000001,0.6884615384615385,3.769146919250488,4.463667869567871
12,PM10,7,Snapshot Ensemble,0.46,0.6,0.68,0.46875,0.4608,0.4545258337201492,340.8551392555237,736.1462831497192
13,PM10,7,RandomForest,0.54,0.64,0.56,0.5333333333333333,0.54,0.6766666666666666,5.513996362686157,8.827495574951172
14,PM10,8,Snapshot Ensemble,0.5,1.0,1.0,0.5,0.48,0.25,335.5383400917053,574.027509689331
15,PM10,8,RandomForest,0.64,0.76,0.48,0.6129032258064516,0.64,0.7464516129032258,3.786365270614624,4.619855880737305
16,PM10,9,Snapshot Ensemble,0.48,0.72,0.76,0.4864864864864865,0.5127999999999999,0.6285186904595526,275.1923770904541,592.9443883895874
17,PM10,9,RandomForest,0.64,0.6,0.32,0.6521739130434783,0.6399999999999999,0.7260869565217392,4.0608069896698,5.118632316589356
18,PM10,10,Snapshot Ensemble,0.56,0.68,0.56,0.5483870967741935,0.5552,0.3892842890815828,343.0346796512604,440.931921005249
19,PM10,10,RandomForest,0.6,0.68,0.48,0.5862068965517241,0.6000000000000001,0.713103448275862,2.354832887649536,3.7081336975097656
