,Dataset Name,Cross Validation,Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,AUPRC,Training Time,Inference Time
0,Pima,1,Snapshot Ensemble,0.7272727272727273,0.5925925925925926,0.2,0.6153846153846154,0.7844444444444447,0.7842115218459438,835.5296578407288,585.8869428758497
1,Pima,1,RandomForest,0.7142857142857143,0.6666666666666666,0.26,0.5806451612903226,0.7033333333333336,0.7763788968824941,6.101545810699463,5.0722035494717685
2,Pima,2,Snapshot Ensemble,0.7662337662337663,0.4814814814814814,0.08,0.7647058823529411,0.8474074074074075,0.8654598742697299,709.1517832279205,484.36304191490274
3,Pima,2,RandomForest,0.7662337662337663,0.5925925925925926,0.14,0.6956521739130435,0.7262962962962963,0.8025970864696852,4.769580125808716,4.293036151241947
4,Pima,3,Snapshot Ensemble,0.7662337662337663,0.6666666666666666,0.18,0.6666666666666666,0.8444444444444447,0.7965090822425329,583.0244801044464,555.901050567627
5,Pima,3,RandomForest,0.7532467532467533,0.5925925925925926,0.16,0.6666666666666666,0.7162962962962964,0.7918489355497229,5.943995237350464,4.968816583806818
6,Pima,4,Snapshot Ensemble,0.7272727272727273,0.6296296296296297,0.22,0.6071428571428571,0.7762962962962965,0.7050280325075148,549.257050037384,488.5818308049982
7,Pima,4,RandomForest,0.6753246753246753,0.5555555555555556,0.26,0.5357142857142857,0.6477777777777779,0.7294883439297608,5.559147357940674,4.175858064131304
8,Pima,5,Snapshot Ensemble,0.7272727272727273,0.4444444444444444,0.12,0.6666666666666666,0.8029629629629631,0.8171228999066211,527.1593201160431,379.72367893565786
9,Pima,5,RandomForest,0.7142857142857143,0.4074074074074074,0.12,0.6470588235294118,0.6437037037037036,0.7380878069080317,4.711113452911377,4.596341740001332
10,Pima,6,Snapshot Ensemble,0.7662337662337663,0.5555555555555556,0.12,0.7142857142857143,0.843703703703704,0.8420890533987292,530.0299460887909,403.2341659843148
11,Pima,6,RandomForest,0.7922077922077922,0.6296296296296297,0.12,0.7391304347826086,0.7548148148148149,0.8273678817157077,3.881835699081421,3.152670798363624
12,Pima,7,Snapshot Ensemble,0.8051948051948052,0.6296296296296297,0.1,0.7727272727272727,0.8303703703703705,0.808930708350039,395.9876620769501,415.78258786882674
13,Pima,7,RandomForest,0.8051948051948052,0.5925925925925926,0.08,0.8,0.7562962962962962,0.8386767825093815,4.443646669387817,3.336435788637632
14,Pima,8,Snapshot Ensemble,0.8181818181818182,0.6666666666666666,0.1,0.782608695652174,0.9133333333333334,0.8992441303009688,337.0602240562439,272.0789878399341
15,Pima,8,RandomForest,0.8311688311688312,0.6666666666666666,0.08,0.8181818181818182,0.7933333333333333,0.8630952380952381,2.763969659805298,2.606289727347238
16,Pima,9,Snapshot Ensemble,0.7236842105263158,0.5,0.16,0.6190476190476191,0.8576923076923078,0.7971287970084675,226.00523853302,216.2305367620368
17,Pima,9,RandomForest,0.75,0.5384615384615384,0.14,0.6666666666666666,0.6992307692307694,0.7814407814407813,1.9715352058410645,2.17963833557932
18,Pima,10,Snapshot Ensemble,0.8289473684210527,0.6153846153846154,0.06,0.8421052631578947,0.833846153846154,0.800746250768395,192.09711408615112,119.70434690776624
19,Pima,10,RandomForest,0.7894736842105263,0.6153846153846154,0.12,0.7272727272727273,0.7476923076923079,0.822256195687158,1.1209158897399902,1.197190661179392
