,Dataset Name,Metric,p-value,Reject H0,Less
0,Prnn Synth,Accuracy,0.692,0,1
1,Prnn Synth,Accuracy,0.336,0,0
2,Prnn Synth,TPR,0.73,0,1
3,Prnn Synth,TPR,0.296,0,0
4,Prnn Synth,FPR,0.831,0,1
5,Prnn Synth,FPR,0.189,0,0
6,Prnn Synth,Precision,0.351,0,1
7,Prnn Synth,Precision,0.676,0,0
8,Prnn Synth,AUC,0.992,0,1
9,Prnn Synth,AUC,0.009,1,0
10,Prnn Synth,AUPRC,0.93,0,1
11,Prnn Synth,AUPRC,0.081,0,0
12,Prnn Synth,Training Time,1.0,0,1
13,Prnn Synth,Training Time,0.0,1,0
14,Prnn Synth,Inference Time,1.0,0,1
15,Prnn Synth,Inference Time,0.0,1,0
