,Dataset Name,Metric,p-value,Reject H0,Less
0,Statlog Heart,Accuracy,0.454,0,1
1,Statlog Heart,Accuracy,0.577,0,0
2,Statlog Heart,TPR,0.546,0,1
3,Statlog Heart,TPR,0.485,0,0
4,Statlog Heart,FPR,0.564,0,1
5,Statlog Heart,FPR,0.468,0,0
6,Statlog Heart,Precision,0.41,0,1
7,Statlog Heart,Precision,0.619,0,0
8,Statlog Heart,AUC,0.981,0,1
9,Statlog Heart,AUC,0.022,1,0
10,Statlog Heart,AUPRC,0.764,0,1
11,Statlog Heart,AUPRC,0.26,0,0
12,Statlog Heart,Training Time,1.0,0,1
13,Statlog Heart,Training Time,0.0,1,0
14,Statlog Heart,Inference Time,1.0,0,1
15,Statlog Heart,Inference Time,0.0,1,0
