,Dataset Name,Metric,p-value,Reject H0,Less
0,Analcatdata Boxing,Accuracy,0.201,0,1
1,Analcatdata Boxing,Accuracy,0.821,0,0
2,Analcatdata Boxing,TPR,0.001,1,1
3,Analcatdata Boxing,TPR,0.999,0,0
4,Analcatdata Boxing,FPR,0.034,1,1
5,Analcatdata Boxing,FPR,0.971,0,0
6,Analcatdata Boxing,Precision,0.0,1,1
7,Analcatdata Boxing,Precision,1.0,0,0
8,Analcatdata Boxing,AUC,0.213,0,1
9,Analcatdata Boxing,AUC,0.808,0,0
10,Analcatdata Boxing,AUPRC,0.214,0,1
11,Analcatdata Boxing,AUPRC,0.808,0,0
12,Analcatdata Boxing,Training Time,1.0,0,1
13,Analcatdata Boxing,Training Time,0.0,1,0
14,Analcatdata Boxing,Inference Time,1.0,0,1
15,Analcatdata Boxing,Inference Time,0.0,1,0
0,Blood,Accuracy,0.972,0,1
1,Blood,Accuracy,0.033,1,0
2,Blood,TPR,0.048,1,1
3,Blood,TPR,0.96,0,0
4,Blood,FPR,0.003,1,1
5,Blood,FPR,0.998,0,0
6,Blood,Precision,0.089,0,1
7,Blood,Precision,0.923,0,0
8,Blood,AUC,1.0,0,1
9,Blood,AUC,0.0,1,0
10,Blood,AUPRC,1.0,0,1
11,Blood,AUPRC,0.0,1,0
12,Blood,Training Time,1.0,0,1
13,Blood,Training Time,0.0,1,0
14,Blood,Inference Time,1.0,0,1
15,Blood,Inference Time,0.0,1,0
0,Bodyfat,Accuracy,0.0,1,1
1,Bodyfat,Accuracy,1.0,0,0
2,Bodyfat,TPR,0.0,1,1
3,Bodyfat,TPR,1.0,0,0
4,Bodyfat,FPR,1.0,0,1
5,Bodyfat,FPR,1.0,0,0
6,Bodyfat,Precision,0.0,1,1
7,Bodyfat,Precision,1.0,0,0
8,Bodyfat,AUC,0.0,1,1
9,Bodyfat,AUC,1.0,0,0
10,Bodyfat,AUPRC,0.0,1,1
11,Bodyfat,AUPRC,1.0,0,0
12,Bodyfat,Training Time,1.0,0,1
13,Bodyfat,Training Time,0.0,1,0
14,Bodyfat,Inference Time,1.0,0,1
15,Bodyfat,Inference Time,0.0,1,0
0,Breast Cancer,Accuracy,0.809,0,1
1,Breast Cancer,Accuracy,0.212,0,0
2,Breast Cancer,TPR,0.245,0,1
3,Breast Cancer,TPR,0.778,0,0
4,Breast Cancer,FPR,0.061,0,1
5,Breast Cancer,FPR,0.948,0,0
6,Breast Cancer,Precision,0.591,0,1
7,Breast Cancer,Precision,0.439,0,0
8,Breast Cancer,AUC,0.939,0,1
9,Breast Cancer,AUC,0.07,0,0
10,Breast Cancer,AUPRC,0.828,0,1
11,Breast Cancer,AUPRC,0.192,0,0
12,Breast Cancer,Training Time,1.0,0,1
13,Breast Cancer,Training Time,0.0,1,0
14,Breast Cancer,Inference Time,1.0,0,1
15,Breast Cancer,Inference Time,0.0,1,0
0,Chatfield,Accuracy,0.605,0,1
1,Chatfield,Accuracy,0.425,0,0
2,Chatfield,TPR,0.756,0,1
3,Chatfield,TPR,0.269,0,0
4,Chatfield,FPR,0.655,0,1
5,Chatfield,FPR,0.375,0,0
6,Chatfield,Precision,0.421,0,1
7,Chatfield,Precision,0.61,0,0
8,Chatfield,AUC,0.996,0,1
9,Chatfield,AUC,0.005,1,0
10,Chatfield,AUPRC,0.984,0,1
11,Chatfield,AUPRC,0.019,1,0
12,Chatfield,Training Time,1.0,0,1
13,Chatfield,Training Time,0.0,1,0
14,Chatfield,Inference Time,1.0,0,1
15,Chatfield,Inference Time,0.0,1,0
0,Cloud,Accuracy,1.0,0,1
1,Cloud,Accuracy,0.0,1,0
2,Cloud,TPR,0.184,0,1
3,Cloud,TPR,0.864,0,0
4,Cloud,FPR,0.0,1,1
5,Cloud,FPR,1.0,0,0
6,Cloud,Precision,0.184,0,1
7,Cloud,Precision,0.864,0,0
8,Cloud,AUC,0.935,0,1
9,Cloud,AUC,0.075,0,0
10,Cloud,AUPRC,0.996,0,1
11,Cloud,AUPRC,0.006,1,0
12,Cloud,Training Time,1.0,0,1
13,Cloud,Training Time,0.0,1,0
14,Cloud,Inference Time,1.0,0,1
15,Cloud,Inference Time,0.0,1,0
0,Diabetes,Accuracy,0.0,1,1
1,Diabetes,Accuracy,1.0,0,0
2,Diabetes,TPR,0.0,1,1
3,Diabetes,TPR,1.0,0,0
